ԱԱԽ	ɑ ɑ χ ə
այբուբենի	ɑ j b u b e n i
այբուբենն	ɑ j b u b e n n
այգեգործական	ɑ j ɡ e ɡ o ɾ t͡s ɑ k ɑ n
այգի	ɑ j ɡ i
Այգին	ɑ j ɡ i n
այգիներ	ɑ j ɡ i n e ɾ
այգիների	ɑ j ɡ i n e ɾ i
այգու	ɑ j ɡ u
այգում	ɑ j ɡ u m
այդ	ɑ j d
Այդահոյով	ɑ j d ɑ h o j o v
այդմ	ɑ j d ə m
Այդուհանդերձ	ɑ j d u h ɑ n d e ɾ t͡sʰ
այևս	ɑ j e v s
այևս	ɑ j e v ə s
այժմ	ɑ j ʒ ə m
այժմյան	ɑ j ʒ ə m j ɑ n
այլ	ɑ j l
այլապես	ɑ j l ɑ p e s
այլասերված	ɑ j l ɑ s e ɾ v ɑ t͡s
այլև	ɑ j l e v
այլևս	ɑ j l e v ə s
այլընտրանքային	ɑ j l ə n t ɾ ɑ ŋ kʰ ɑ j i n
այլմոլորակայիններ	ɑ j l m o l o ɾ ɑ k ɑ j i n n e ɾ
այլն	ɑ j l n
այլոց	ɑ j l o t͡sʰ
այլուր	ɑ j l u ɾ
այլք	ɑ j l kʰ
այծարածներ	ɑ j t͡s ɑ ɾ ɑ t͡s n e ɾ
այծեր	ɑ j t͡s e ɾ
այծերը	ɑ j t͡s e ɾ ə
այծերին	ɑ j t͡s e ɾ i n
այն	ɑ j n
այն-	ɑ j n
Այնուամենայնիվ	ɑ j n u ɑ m e n ɑ j n i v
այնուհետև	ɑ j n u h e t e v
այնպես	ɑ j n p e s
այնպիսի	ɑ j n p i s i
այնպիսին	ɑ j n p i s i n
այնտեղ	ɑ j n t e ʁ
այնտեղի	ɑ j n t e ʁ i
այնտեղով	ɑ j n t e ʁ o v
այնքան	ɑ j ŋ kʰ ɑ n
Այո	ɑ j o
Այովայում	ɑ j o v ɑ j u m
այս	ɑ j s
այսպես	ɑ j s p e s
Այսպիսի	ɑ j s p i s i
Այսպիսով	ɑ j s p i s o v
այստեղ	ɑ j s t e ʁ
այստեղ	ɑ j s t e ʁ
այստեղից	ɑ j s t e ʁ i t͡sʰ
այսքան	ɑ j s kʰ ɑ n
այսօր	ɑ j s o ɾ
այսօրվա	ɑ j s o ɾ v ɑ
Այրեսի	ɑ j ɾ e s i
Այրեսից	ɑ j ɾ e s i t͡sʰ
այրվածք	ɑ j ɾ v ɑ t͡s kʰ
այրվածքներ	ɑ j ɾ v ɑ t͡s kʰ n e ɾ
այց	ɑ j t͡sʰ
այցելել	ɑ j t͡sʰ e l e l
այցելելը	ɑ j t͡sʰ e l e l ə
այցելելիս	ɑ j t͡sʰ e l e l i s
այցելելու	ɑ j t͡sʰ e l e l u
այցելեն	ɑ j t͡sʰ e l e n
այցելեր	ɑ j t͡sʰ e l e ɾ
այցելեց	ɑ j t͡sʰ e l e t͡sʰ
այցելեք	ɑ j t͡sʰ e l e kʰ
այցելող	ɑ j t͡sʰ e l o ʁ
այցելության	ɑ j t͡sʰ e l u tʰ j ɑ n
այցելություն	ɑ j t͡sʰ e l u tʰ j u n
այցելությունը	ɑ j t͡sʰ e l u tʰ j u n ə
այցելությունների	ɑ j t͡sʰ e l u tʰ j u n n e ɾ i
այցելություններով	ɑ j t͡sʰ e l u tʰ j u n n e ɾ o v
այցելուի	ɑ j t͡sʰ e l u i
այցելում	ɑ j t͡sʰ e l u m
այցելուներ	ɑ j t͡sʰ e l u n e ɾ
այցելուները	ɑ j t͡sʰ e l u n e ɾ ə
այցելուների	ɑ j t͡sʰ e l u n e ɾ i
այցելուներին	ɑ j t͡sʰ e l u n e ɾ i n
այցելուներից	ɑ j t͡sʰ e l u n e ɾ i t͡sʰ
այցելուներն	ɑ j t͡sʰ e l u n e ɾ n
այցելվող	ɑ j t͡sʰ e l v o ʁ
այցերը	ɑ j t͡sʰ e ɾ ə
այցերի	ɑ j t͡sʰ e ɾ i
այցը	ɑ j t͡sʰ ə
այցի	ɑ j t͡sʰ i
անազնիվ	ɑ n ɑ z n i v
անալոգային	ɑ n ɑ l o ɡ ɑ j i n
անախորժությունների	ɑ n ɑ χ o ɾ ʒ u tʰ j u n n e ɾ i
անանցանելի	ɑ n ɑ n t͡sʰ ɑ n e l i
անապատի	ɑ n ɑ p ɑ t i
անապատներ	ɑ n ɑ p ɑ t n e ɾ
անապատները	ɑ n ɑ p ɑ t n e ɾ ə
Անապատում	ɑ n ɑ p ɑ t u m
անավարտ	ɑ n ɑ v ɑ ɾ t
Անատոլիայի	ɑ n ɑ t o l j ɑ j i
անբնակ	ɑ n b ə n ɑ k
անբնական	ɑ n b ə n ɑ k ɑ n
անգամ	ɑ ŋ kʰ ɑ m
անգամն	ɑ ŋ kʰ ɑ m n
Անգելը	ɑ ŋ ɡ e l ə
անգլերեն	ɑ ŋ ɡ l e ɾ e n
անգլերենի	ɑ ŋ ɡ l e ɾ e n i
անգլերենին	ɑ ŋ ɡ l e ɾ e n i n
անգլիական	ɑ ŋ ɡ l i j ɑ k ɑ n
անգլիական	ɑ ŋ ɡ l j ɑ k ɑ n
Անգլիայում	ɑ ŋ ɡ l j ɑ j u m
Անգլիայում	ɑ ŋ ɡ l i j ɑ j u m
Անգլիան	ɑ ŋ ɡ l j ɑ n
Անգլիան	ɑ ŋ ɡ l i j ɑ n
անգլիացի	ɑ ŋ ɡ l j ɑ t͡sʰ i
անգլիացի	ɑ ŋ ɡ l i j ɑ t͡sʰ i
Անգկորի	ɑ ŋ ɡ k o ɾ i
Անգոլայում	ɑ ŋ ɡ o l ɑ j u m
Անգոլան	ɑ ŋ ɡ o l ɑ n
անգործածական	ɑ ŋ ɡ o ɾ t͡s ɑ t͡s ɑ k ɑ n
անգործության	ɑ ŋ ɡ o ɾ t͡s u tʰ j ɑ n
անդամ	ɑ n tʰ ɑ m
անդամակցության	ɑ n tʰ ɑ m ɑ k t͡sʰ u tʰ j ɑ n
անդամահատման	ɑ n tʰ ɑ m ɑ h ɑ t m ɑ n
անդամը	ɑ n tʰ ɑ m ə
անդամի	ɑ n tʰ ɑ m i
անդամին	ɑ n tʰ ɑ m i n
անդամն	ɑ n tʰ ɑ m n
անդամները	ɑ n tʰ ɑ m n e ɾ ə
անդամների	ɑ n tʰ ɑ m n e ɾ i
անդրադառնում	ɑ n d ɾ ɑ d ɑ r n u m
անդրադարձնելով	ɑ n d ɾ ɑ d ɑ ɾ t͡sʰ n e l o v
անդրադարձնող	ɑ n d ɾ ɑ d ɑ ɾ t͡sʰ n o ʁ
անդրօվկիանոսյան	ɑ n d ɾ o v k j ɑ n o s j ɑ n
անեին	ɑ n e j i n
անել	ɑ n e l
անել	ɑ n e l
անելն	ɑ n e l n
անելու	ɑ n e l u
անեծքի	ɑ n e t͡s kʰ i
անեղծ	ɑ n e χ t͡s
անեն	ɑ n e n
